zero_index,gamma,C_phi,is_convex,norm_center,norm_plus,norm_minus
14301,13469.624935437,7.844073084e-60,True,2.411893014e-52,2.411458093e-52,2.412328014e-52
14401,13551.513797405,3.748539760e-60,True,1.152600293e-52,1.152392452e-52,1.152808172e-52
14501,13633.465675770,1.790342173e-60,True,5.504940607e-53,5.503947936e-53,5.505933457e-53
14601,13715.656537996,8.532463930e-61,True,2.623558071e-53,2.623084982e-53,2.624031246e-53
14701,13797.313109564,4.086058853e-61,True,1.256380028e-53,1.256153473e-53,1.256606624e-53
14801,13878.452700552,1.965891129e-61,True,6.044715685e-54,6.043625680e-54,6.045805886e-54
14901,13959.746781384,9.445160446e-62,True,2.904194816e-54,2.903671121e-54,2.904718606e-54
15001,14041.666280535,4.512427440e-62,True,1.387479119e-54,1.387228924e-54,1.387729359e-54
15101,14123.070304487,2.165854010e-62,True,6.659563781e-55,6.658362905e-55,6.660764875e-55
15201,14204.408499331,1.040175187e-62,True,3.198327250e-55,3.197750516e-55,3.198904088e-55
15301,14285.393312940,5.011492384e-63,True,1.540933390e-55,1.540655523e-55,1.541211306e-55
15401,14366.911796275,2.402913722e-63,True,7.388477686e-56,7.387145369e-56,7.389810244e-56
15501,14447.922506340,1.157437984e-63,True,3.558889651e-56,3.558247899e-56,3.559531518e-56
15601,14528.919411616,5.575863150e-64,True,1.714463084e-56,1.714153926e-56,1.714772298e-56
15701,14610.106246057,2.681525625e-64,True,8.245139082e-57,8.243652289e-57,8.246626144e-57
15801,14691.263793891,1.289931033e-64,True,3.966272244e-57,3.965557032e-57,3.966987586e-57
15901,14771.932812067,6.232520924e-65,True,1.916373483e-57,1.916027916e-57,1.916719113e-57
16001,14853.311400585,2.992142673e-65,True,9.200238496e-58,9.198579476e-58,9.201897816e-58
16101,14934.165757121,1.443291783e-65,True,4.437832711e-58,4.437032465e-58,4.438633102e-58
16201,15015.328294744,6.942564028e-66,True,2.134695437e-58,2.134310501e-58,2.135080442e-58
16301,15096.098572816,3.351356312e-66,True,1.030473949e-58,1.030288130e-58,1.030659801e-58
16401,15176.495039642,1.623250567e-66,True,4.991165476e-59,4.990265451e-59,4.992065663e-59
16501,15257.189888685,7.841197815e-67,True,2.411006861e-59,2.410572099e-59,2.411441701e-59
16601,15337.429027444,3.803318666e-67,True,1.169444187e-59,1.169233309e-59,1.169655103e-59
16701,15417.871897902,1.841393922e-67,True,5.661907019e-60,5.660886043e-60,5.662928179e-60
16801,15497.876379341,8.950471698e-68,True,2.752090502e-60,2.751594235e-60,2.752586859e-60
16901,15578.678308154,4.319404050e-68,True,1.328127782e-60,1.327888289e-60,1.328367318e-60
17001,15659.719019921,2.080012270e-68,True,6.395609368e-61,6.394456089e-61,6.396762856e-61
17101,15739.752582608,1.010768304e-68,True,3.107907077e-61,3.107346648e-61,3.108467608e-61
17201,15820.204507708,4.893268130e-69,True,1.504581788e-61,1.504310477e-61,1.504853149e-61
17301,15900.528664279,2.371631083e-69,True,7.292289836e-62,7.290974864e-62,7.293605045e-62
17401,15980.210774658,1.156139611e-69,True,3.554891214e-62,3.554250184e-62,3.555532361e-62
17501,16060.365151631,5.612062614e-70,True,1.725596686e-62,1.725285520e-62,1.725907908e-62
17601,16140.425820072,2.726483256e-70,True,8.383381822e-63,8.381870100e-63,8.384893816e-63
17701,16220.626997689,1.322915676e-70,True,4.067700387e-63,4.066966885e-63,4.068434022e-63
17801,16300.790865841,6.421089773e-71,True,1.974352855e-63,1.973996832e-63,1.974708941e-63
17901,16380.622896580,3.125959040e-71,True,9.611697026e-64,9.609963810e-64,9.613430555e-64
18001,16460.132308358,1.526239640e-71,True,4.692872547e-64,4.692026311e-64,4.693718935e-64
18101,16539.909984017,7.433793805e-72,True,2.285740463e-64,2.285328290e-64,2.286152710e-64
18201,16619.821431197,3.616386272e-72,True,1.111965262e-64,1.111764748e-64,1.112165811e-64
18301,16699.454384600,1.763721776e-72,True,5.423081281e-65,5.422103371e-65,5.424059367e-65
18401,16779.002712168,8.608264707e-73,True,2.646868740e-65,2.646391447e-65,2.647346119e-65
18501,16858.408424099,4.206882644e-73,True,1.293532019e-65,1.293298764e-65,1.293765315e-65
18601,16938.233419243,2.048157024e-73,True,6.297671971e-66,6.296536352e-66,6.298807795e-66
18701,17018.054396700,9.971998604e-74,True,3.066186883e-66,3.065633977e-66,3.066739889e-66
18801,17097.480683153,4.872439115e-74,True,1.498175979e-66,1.497905822e-66,1.498446184e-66
18901,17176.544016056,2.388534877e-74,True,7.344265604e-67,7.342941259e-67,7.345590187e-67
19001,17256.387732148,1.162684502e-74,True,3.575015386e-67,3.574370726e-67,3.575660162e-67
19101,17335.282118268,5.708319500e-75,True,1.755193740e-67,1.754877237e-67,1.755510300e-67
19201,17414.771964041,2.787558295e-75,True,8.571175132e-68,8.569629547e-68,8.572720997e-68
19301,17493.600646913,1.369392754e-75,True,4.210607998e-68,4.209848726e-68,4.211367407e-68
19401,17573.150266873,6.683593304e-76,True,2.055067264e-68,2.054696686e-68,2.055437908e-68
19501,17652.161087282,3.277938565e-76,True,1.007899494e-68,1.007717745e-68,1.008081274e-68
19601,17731.704909719,1.599943877e-76,True,4.919502214e-69,4.918615112e-69,4.920389477e-69
19701,17810.413734990,7.868250457e-77,True,2.419329207e-69,2.418892945e-69,2.419765548e-69
19801,17889.631814220,3.851750203e-77,True,1.184334887e-69,1.184121323e-69,1.184548489e-69
19901,17968.508459672,1.891363971e-77,True,5.815554653e-70,5.814505971e-70,5.816603524e-70
20001,18047.134530336,9.308356122e-78,True,2.862127781e-70,2.861611672e-70,2.862643983e-70
20101,18126.270918165,4.560071893e-78,True,1.402130638e-70,1.401877800e-70,1.402383520e-70
20201,18205.366171951,2.234770802e-78,True,6.871459975e-71,6.870220889e-71,6.872699285e-71
20301,18283.769956480,1.102049170e-78,True,3.388577152e-71,3.387966112e-71,3.389188303e-71
20401,18362.096575218,5.438399781e-79,True,1.672198844e-71,1.671897307e-71,1.672500436e-71
20501,18441.394114287,2.660359165e-79,True,8.180056542e-72,8.178581485e-72,8.181531866e-72
20601,18520.280952807,1.306220809e-79,True,4.016363470e-72,4.015639224e-72,4.017087845e-72
20701,18598.376671760,6.459387607e-80,True,1.986130404e-72,1.985772258e-72,1.986488615e-72
20801,18676.971778479,3.179878214e-80,True,9.777479030e-73,9.775715920e-73,9.779242459e-73
20901,18755.790552539,1.562260140e-80,True,4.803636526e-73,4.802770317e-73,4.804502891e-73
21001,18834.013906815,7.716654130e-81,True,2.372712214e-73,2.372284358e-73,2.373140148e-73
21101,18912.633246061,3.797981943e-81,True,1.167802240e-73,1.167591658e-73,1.168012861e-73
21201,18991.145889223,1.871092837e-81,True,5.753225112e-74,5.752187670e-74,5.754262742e-74
21301,19069.491822252,9.231873790e-82,True,2.838613558e-74,2.838101689e-74,2.839125520e-74
21401,19148.056260631,4.545992524e-82,True,1.397801507e-74,1.397549450e-74,1.398053609e-74
21501,19225.995593184,2.251211296e-82,True,6.922017131e-75,6.920768928e-75,6.923265559e-75
21601,19304.214660096,1.112009148e-82,True,3.419199070e-75,3.418582508e-75,3.419815744e-75
