Lambda,T,C_phi,T_phi_norm,bitsize_TnormT,Lambda_star,cov_rank_6,bridge_structural
-0.13157894736842107,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.13157894736842107,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.13157894736842107,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.07894736842105265,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.07894736842105265,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.07894736842105265,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.07894736842105265,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.07894736842105265,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
-0.026315789473684237,4.0,1.1742797893481036,6.316395894019031,25.265583576076125,-0.5,1,1
-0.026315789473684237,4.5,1.6447391673554073,10.44414927588636,46.99867174148862,-0.5,1,1
-0.026315789473684237,5.0,0.7610989884796737,16.883807122786653,84.41903561393326,-0.5,1,1
-0.026315789473684237,5.5,3.474274367835605,28.21845775305831,155.20151764182071,-0.5,1,1
-0.026315789473684237,6.0,7.611260091858597,46.23475369288304,277.40852215729825,-0.5,1,1
0.02631578947368418,4.0,1.1661979041674915,6.277434489300571,25.109737957202285,-0.5,1,1
0.02631578947368418,4.5,1.634844119680718,10.379789759620039,46.709053918290174,-0.5,1,1
0.02631578947368418,5.0,0.7673992214499563,16.781694558548683,83.90847279274341,-0.5,1,1
0.02631578947368418,5.5,3.458995592325067,28.045734328921586,154.25153880906873,-0.5,1,1
0.02631578947368418,6.0,7.5643200967364805,45.9533368900933,275.7200213405598,-0.5,1,1
0.07894736842105265,4.0,1.1506635216524614,6.202217498865724,24.808869995462896,-0.5,1,1
0.07894736842105265,4.5,1.615724980047954,10.255568354824174,46.150057596708784,-0.5,1,1
0.07894736842105265,5.0,0.7786596857456161,16.584464772354316,82.92232386177159,-0.5,1,1
0.07894736842105265,5.5,3.4290092890786497,27.712302531474798,152.41766392311138,-0.5,1,1
