test_name,param,sigma,T,weil_value,positive,strictly_positive
cosinebump,0.2,0.4,32.9351,6.20473754e-01,1,1
cosinebump,0.2,0.4,37.5862,1.35990273e+00,1,1
cosinebump,0.2,0.4,40.9187,9.61467017e-01,1,1
cosinebump,0.2,0.4,43.3271,1.18417798e+00,1,1
cosinebump,0.2,0.5,10.0,2.06674941e-01,1,1
cosinebump,0.2,0.5,20.0,1.10167828e-01,1,1
cosinebump,0.2,0.5,50.0,9.53129274e-01,1,1
cosinebump,0.2,0.5,100.0,1.19220748e-01,1,1
cosinebump,0.2,0.5,200.0,1.82886869e-01,1,1
cosinebump,0.2,0.5,14.1347,7.28024495e-01,1,1
cosinebump,0.2,0.5,21.022,6.59132852e-01,1,1
cosinebump,0.2,0.5,25.0109,3.50739957e-01,1,1
cosinebump,0.2,0.5,30.4249,4.92043744e-01,1,1
cosinebump,0.2,0.5,32.9351,3.94161207e-01,1,1
cosinebump,0.2,0.5,37.5862,7.25164734e-01,1,1
cosinebump,0.2,0.5,40.9187,5.69653098e-01,1,1
cosinebump,0.2,0.5,43.3271,6.54771422e-01,1,1
cosinebump,0.2,0.6,10.0,1.16304820e-01,1,1
cosinebump,0.2,0.6,20.0,7.64325110e-02,1,1
cosinebump,0.2,0.6,50.0,5.43638863e-01,1,1
cosinebump,0.2,0.6,100.0,7.71053661e-02,1,1
cosinebump,0.2,0.6,200.0,8.64965794e-02,1,1
cosinebump,0.2,0.6,14.1347,4.88273010e-01,1,1
cosinebump,0.2,0.6,21.022,4.02715031e-01,1,1
cosinebump,0.2,0.6,25.0109,2.24041910e-01,1,1
cosinebump,0.2,0.6,30.4249,3.15333791e-01,1,1
cosinebump,0.2,0.6,32.9351,2.53829034e-01,1,1
cosinebump,0.2,0.6,37.5862,3.94646548e-01,1,1
cosinebump,0.2,0.6,40.9187,3.46030043e-01,1,1
cosinebump,0.2,0.6,43.3271,3.69635944e-01,1,1
