T,z80_abs,is_zero
231.250188,0.05623394911895728,True
231.987235,0.05619881431525737,True
233.693404,0.056124917198631774,True
236.52423,0.05601614376064011,True
17.5783825,2.8036095189875327,False
23.016449,1.7056120289696635,False
27.717867,3.1098147089201897,False
31.679969,1.1527833690916405,False
35.26062,2.718690460860376,False
39.2524485,1.9740402356943534,False
42.122896,1.2019362648143994,False
45.6661115,3.5344156711727126,False
48.889491,0.8496688430242867,False
51.3720765,1.981283603620816,False
54.708284,3.0743315328065535,False
57.8966455,1.9135383364152,False
60.089411,0.63582126101541,False
62.972161,4.163198638977356,False
66.096177,1.2234330808984297,False
68.3131055,1.4133084995271876,False
70.806779,1.997762731717678,False
73.88592349999999,3.5765937931118232,False
76.42476500000001,0.7412155002130173,False
78.2411075,1.2293503282094176,False
81.12387799999999,3.9004210497513068,False
83.822937,1.244284564600319,False
86.08038350000001,2.0191326645444896,False
88.1171925,0.6820230498067408,False
90.65050500000001,4.556356731151399,False
93.57162149999999,1.577272792734617,False
95.260989,0.4873089475571742,False
97.35091399999999,2.9280892429508096,False
100.0745225,2.6309441622973018,False
102.5216945,2.090559545977997,False
104.58608050000001,1.0409370656076216,False
106.307617,1.2629905264905246,False
109.099073,5.237555482002941,False
111.452097,0.23525293530352806,False
113.09743950000001,1.8033105248766497,False
115.27345,1.5829903563057799,False
117.508731,3.1459772323843924,False
120.0804535,2.7064409198957713,False
122.158477,0.9645627287659226,False
123.6018235,0.7338389309088063,False
125.8867505,4.543948500451722,False
128.54769349999998,1.9261147726272445,False
130.333196,1.0130142195687268,False
132.2927125,2.1407440760426675,False
134.12712299999998,0.7926470608047355,False
136.4362755,5.121173290788048,False
138.926125,1.1166692515666248,False
140.4299575,0.8019282448193931,False
142.1177765,1.8270476930195816,False
144.55641400000002,4.170034004165901,False
146.7118735,1.2341085071764366,False
148.73814249999998,2.437149423306038,False
150.4893885,0.41332785810996286,False
151.974975,2.0040835794805676,False
154.568801,5.011505326005936,False
156.85525,1.0463091140359144,False
158.2237895,0.6667698128183611,False
160.019476,2.365156440176024,False
162.1098365,2.216172412099396,False
164.283889,3.445051659399811,False
166.360754,1.4666002630228185,False
168.139477,1.3708974428669074,False
169.5032455,0.38210636927948904,False
171.66175600000003,5.91986793701412,False
174.0828635,1.0927970945167957,False
175.59781249999997,1.275298672326881,False
177.4094205,1.7388858462290016,False
179.14694550000002,1.4721751397958616,False
181.061781,3.376507466152865,False
183.5407725,3.425097896796491,False
185.236625,0.3154125514794695,False
186.41385250000002,1.0828158188599326,False
188.32254,2.83603222775363,False
190.721407,4.112717091448905,False
192.553191,0.7585289546206664,False
194.172561,2.1374580344382923,False
196.0709385,1.2342428785419515,False
197.4458955,0.8255967719130888,False
199.6400305,6.0859566110451375,False
201.87917249999998,0.9044101285382256,False
203.3416325,1.2184221251696925,False
204.79218400000002,0.8516484835833554,False
206.65047750000002,3.718466809772198,False
208.74138349999998,2.1036515475511237,False
210.6336855,2.768054426067762,False
212.5193905,1.4361344331653103,False
213.94748149999998,0.7514095165513399,False
215.358291,1.567511635020198,False
217.61856699999998,5.713947381312644,False
219.891257,1.401380233879825,False
221.0728115,0.3215003299798138,False
222.7188525,2.761884344004374,False
224.495162,0.672939291157555,False
226.202384,3.8925577047818942,False
