T,rho2,rho4,is_zero
213.347919,1.0000004417188204,0.9999997854122492,True
214.547044,0.9999999752237323,0.9999990480989537,True
216.169538,1.00000036444629,0.9999996506808143,True
219.067596,0.9999989829061988,0.9999981544051474,True
220.714918,1.0000009807365189,0.9999999609447325,True
221.430705,0.9999995772911615,0.9999987182006379,True
224.007,1.0000008078200306,0.9999998937214117,True
224.983324,0.9999993748708221,0.9999985379948184,True
227.421444,0.9999986581342794,0.9999971994629369,True
229.337413,1.0000004906423805,0.9999997489074498,True
231.250188,0.9999999663018161,0.9999993083421879,True
231.987235,0.9999986682234395,0.9999974380575739,True
233.693404,0.999999901384628,0.999999426090467,True
236.52423,0.9999993982309863,0.9999985814303293,True
17.5783825,0.9999997914071123,0.9999989413331252,False
23.016449,0.9999997845113823,0.9999989350227112,False
27.717867,0.9999997736854207,0.9999989204052211,False
31.679969,0.9999998187263657,0.9999989724284875,False
35.26062,0.9999997793078026,0.9999989175482246,False
39.2524485,0.9999998097886937,0.9999989637847948,False
42.122896,0.9999997719426942,0.9999989084748899,False
45.6661115,0.9999997821128608,0.9999989251714517,False
48.889491,0.9999998527722427,0.9999990019605868,False
51.3720765,0.9999997869255677,0.9999989602549882,False
54.708284,0.9999997921327186,0.9999989763920057,False
57.8966455,0.9999997479274841,0.9999988592734277,False
60.089411,0.9999997939668391,0.9999989562764033,False
62.972161,0.9999998481897167,0.9999990379661287,False
66.096177,0.9999997243450818,0.999998846606866,False
68.3131055,0.999999798011209,0.9999989677681012,False
70.806779,0.9999997080166658,0.9999988267644231,False
73.88592349999999,0.9999998214093608,0.9999990318962179,False
76.42476500000001,0.9999997442005443,0.9999988652152273,False
78.2411075,0.999999908745657,0.9999990356453335,False
81.12387799999999,0.999999778430337,0.9999989230000942,False
83.822937,0.9999995449166151,0.9999985936197839,False
86.08038350000001,1.000000040169974,0.9999992332939354,False
88.1171925,0.9999997402399521,0.9999989079375338,False
90.65050500000001,0.9999997349799556,0.9999988520560238,False
93.57162149999999,0.9999998259679924,0.9999989876214712,False
95.260989,0.9999998757298768,0.9999990160191761,False
