T,sigma,abs_psi,is_zero
14.134725,0.62,2.2511872441575838,True
14.134725,0.63,2.0380015994223055,True
14.134725,0.64,1.8429975352063923,True
14.134725,0.65,1.664580479635181,True
14.134725,0.66,1.501296094758538,True
14.134725,0.67,1.3518179466573284,True
14.134725,0.6799999999999999,1.2149362612197994,True
14.134725,0.69,1.0895476705983547,True
14.134725,0.7,0.9746458639420127,True
14.134725,0.71,0.8693130639618913,True
14.134725,0.72,0.7727122583719706,True
14.134725,0.73,0.6840801224607982,True
14.134725,0.74,0.6027205763227493,True
14.134725,0.75,0.5279989282055941,True
14.134725,0.76,0.4593365651858653,True
14.134725,0.77,0.3962061664585509,True
14.134725,0.78,0.3381274386430953,True
14.134725,0.79,0.28466342087883545,True
14.134725,0.8,0.23541751884588671,True
14.134725,0.8099999999999999,0.1900317192654227,True
14.134725,0.82,0.14818732473633753,True
14.134725,0.83,0.10961279518455797,True
14.134725,0.84,0.07411871239542196,True
14.134725,0.85,0.041792505637879264,True
14.134725,0.86,0.015444017341363508,True
14.134725,0.87,0.02297380161829909,True
14.134725,0.88,0.047445111781801406,True
14.134725,0.89,0.07148185918947682,True
14.134725,0.9,0.09412133820879315,True
21.02204,0.1,189.78292893219796,True
21.02204,0.11,173.11985679216545,True
21.02204,0.12000000000000001,157.92125871351436,True
21.02204,0.13,144.05832583331855,True
21.02204,0.14,131.41357973394187,True
21.02204,0.15000000000000002,119.8798757889955,True
21.02204,0.16,109.35949417552517,True
21.02204,0.17,99.7633108414437,True
21.02204,0.18,91.01004139545631,True
21.02204,0.19,83.0255515052994,True
21.02204,0.2,75.74222795428861,True
21.02204,0.21000000000000002,69.09840502071569,True
21.02204,0.22,63.037841313931736,True
21.02204,0.23,57.509242628964415,True
21.02204,0.24000000000000002,52.465826771890825,True
21.02204,0.25,47.864926664217826,True
21.02204,0.26,43.667628359244354,True
21.02204,0.27,39.83844089953623,True
21.02204,0.28,36.3449952147544,True
21.02204,0.29000000000000004,33.15776950542924,True
21.02204,0.30000000000000004,30.249838782957173,True
21.02204,0.31,27.596646441017167,True
21.02204,0.32,25.175795920502328,True
21.02204,0.33,22.966860700519963,True
21.02204,0.33999999999999997,20.951211003479823,True
21.02204,0.35,19.111855744081403,True
21.02204,0.36,17.433298381332307,True
21.02204,0.37,15.90140545067495,True
21.02204,0.38,14.503286660872137,True
21.02204,0.39,13.227185538412424,True
21.02204,0.4,12.062379691678984,True
21.02204,0.41000000000000003,10.999089848738029,True
21.02204,0.42000000000000004,10.028396897038277,True
21.02204,0.43000000000000005,9.142166221202553,True
21.02204,0.44000000000000006,8.332978697013012,True
21.02204,0.45000000000000007,7.594067756167961,True
21.02204,0.45999999999999996,6.919261987900168,True
21.02204,0.47,6.302932790532955,True
21.02204,0.48,5.739946628908186,True
21.02204,0.49,5.225621492717036,True
21.02204,0.5,4.7556871864319845,True
21.02204,0.51,4.326249114081478,True
21.02204,0.52,3.933755251807938,True
21.02204,0.53,3.574966028260174,True
21.02204,0.54,3.246926857630395,True
21.02204,0.55,2.946943092772805,True
21.02204,0.56,2.6725571865408986,True
21.02204,0.5700000000000001,2.421527868449484,True
21.02204,0.58,2.1918111611961884,True
21.02204,0.59,1.9815430776582073,True
21.02204,0.6,1.789023853919298,True
21.02204,0.61,1.6127035879141212,True
21.02204,0.62,1.45116916669303,True
21.02204,0.63,1.3031323785029714,True
21.02204,0.64,1.1674191194236763,True
21.02204,0.65,1.0429596190925534,True
21.02204,0.66,0.9287796275894422,True
21.02204,0.67,0.8239925284333348,True
21.02204,0.6799999999999999,0.7277923755964659,True
21.02204,0.69,0.6394479044388012,True
21.02204,0.7,0.5582976552824507,True
21.02204,0.71,0.48374651086650555,True
21.02204,0.72,0.4152642657145232,True
21.02204,0.73,0.352387502845476,True
21.02204,0.74,0.2947275107665842,True
21.02204,0.75,0.24199044766482478,True
21.02204,0.76,0.19402491870573293,True
21.02204,0.77,0.15093711829163306,True
21.02204,0.78,0.11338652394226763,True
21.02204,0.79,0.08335526197905817,True
21.02204,0.8,0.06553339671760679,True
21.02204,0.8099999999999999,0.06531537403937204,True
21.02204,0.82,0.07963974192002954,True
21.02204,0.83,0.10047486039442106,True
21.02204,0.84,0.12317308783617474,True
