T,k,curvature,is_zero
158.849988,2,63350.46734569614,True
158.849988,3,137.95716310045665,True
158.849988,4,53.64850887978889,True
158.849988,5,7.194325180037708,True
158.849988,6,254523.95894975204,True
158.849988,7,786.92305711506,True
158.849988,8,76769.78239048319,True
161.188964,0,166.90875896453917,True
161.188964,1,2.61419809184197,True
161.188964,2,73555.53359178336,True
161.188964,3,89.07411809208386,True
161.188964,4,8.430562561945187,True
161.188964,5,32.84009547632749,True
161.188964,6,67040.96822192629,True
161.188964,7,775.5063942868967,True
161.188964,8,28862.85760318138,True
163.030709,0,199.65319653394388,True
163.030709,1,6.398096545245162,True
163.030709,2,81366.45793396496,True
163.030709,3,114.96691266164304,True
163.030709,4,85.65939397797706,True
163.030709,5,8.24501920071441,True
163.030709,6,409352.914434463,True
163.030709,7,766.7412566416567,True
163.030709,8,60753.10598597463,True
165.537069,0,213.9534203712197,True
165.537069,1,7.363200470368213,True
165.537069,2,54984.41966116594,True
165.537069,3,123.41552025599115,True
165.537069,4,98.24314535222811,True
165.537069,5,20.2136379301443,True
165.537069,6,134104.75522026207,True
165.537069,7,755.1361566339571,True
165.537069,8,79943.78211505864,True
167.184439,0,199.3730625935538,True
167.184439,1,5.5115903474783075,True
167.184439,2,66859.16556257838,True
167.184439,3,105.67594933612861,True
167.184439,4,53.25569025771415,True
167.184439,5,7.997661366498932,True
167.184439,6,4678.376684533018,True
167.184439,7,747.6922141457466,True
167.184439,8,59405.247705341855,True
169.094515,0,222.37078425481124,True
169.094515,1,6.810481345706537,True
169.094515,2,57620.074038533225,True
169.094515,3,157.1143448413727,True
169.094515,4,29.148973146320145,True
169.094515,5,21.796943072693864,True
169.094515,6,448070.46287419694,True
169.094515,7,739.2482444543085,True
169.094515,8,80017.38040159584,True
169.911976,0,187.41988594387502,True
169.911976,1,3.726006564842962,True
169.911976,2,71823.72212050491,True
169.911976,3,128.31540343703614,True
169.911976,4,4.823803423370521,True
169.911976,5,23.861373188438506,True
169.911976,6,135392.09527647318,True
169.911976,7,735.6938204756564,True
169.911976,8,42720.0296675481,True
173.411536,0,212.20798693820586,True
173.411536,1,5.807390685886341,True
173.411536,2,60093.98940083892,True
173.411536,3,140.98290161527206,True
173.411536,4,75.49319718802572,True
173.411536,5,13.515808694464226,True
173.411536,6,321215.4926403257,True
173.411536,7,720.844003795801,True
173.411536,8,54074.56097186579,True
174.754191,0,170.04338425548195,True
174.754191,1,3.7423282361593495,True
174.754191,2,59284.61669399378,True
174.754191,3,116.85211598186815,True
174.754191,4,22.93460029667571,True
174.754191,5,21.59513472488328,True
174.754191,6,135398.07469989362,True
174.754191,7,715.3082325377815,True
174.754191,8,39356.29759370836,True
176.441434,0,225.0923427532991,True
176.441434,1,7.647645760941337,True
176.441434,2,58054.74204860963,True
176.441434,3,154.18485478757424,True
176.441434,4,54.870742083323876,True
176.441434,5,44.00392089598526,True
176.441434,6,494838.95595673757,True
176.441434,7,708.4678996545624,True
176.441434,8,85402.64410449757,True
178.377407,0,190.16669543415532,True
178.377407,1,5.74761491055246,True
178.377407,2,67040.70858104562,True
178.377407,3,52.2034126972625,True
178.377407,4,72.9897997597817,True
178.377407,5,1.8460231343553346,True
178.377407,6,231439.84820335242,True
178.377407,7,700.782355771071,True
178.377407,8,56159.08392454473,True
179.916484,0,225.70017302314562,True
179.916484,1,8.316108104606373,True
179.916484,2,67061.46347686551,True
179.916484,3,107.3695736343962,True
179.916484,4,80.56378728582558,True
179.916484,5,62.660765642874594,True
179.916484,6,398327.24809981015,True
179.916484,7,694.7838352610552,True
179.916484,8,90206.90477041683,True
182.207078,0,163.4468372685635,True
182.207078,1,5.063975724166758,True
182.207078,2,63145.570765689925,True
182.207078,3,76.32317157546314,True
182.207078,4,48.13259923963642,True
182.207078,5,26.011526621516623,True
182.207078,6,199229.68777672522,True
182.207078,7,686.049271635116,True
182.207078,8,28356.477082431204,True
184.874467,0,206.69446725603296,True
184.874467,1,6.461195160233493,True
184.874467,2,60244.32013604391,True
184.874467,3,62.420573684257704,True
184.874467,4,16.86586086346864,True
184.874467,5,25.511017931467705,True
184.874467,6,9594.658216065141,True
184.874467,7,676.1518283474743,True
184.874467,8,69852.81709264578,True
185.598783,0,164.468939067038,True
185.598783,1,4.07280962765658,True
185.598783,2,55096.651322156795,True
185.598783,3,97.73841011800971,True
185.598783,4,19.516668947616722,True
185.598783,5,11.415576206541544,True
185.598783,6,71834.70216750471,True
185.598783,7,673.5140635252143,True
185.598783,8,43103.357038229,True
187.228922,0,213.1648484305429,True
187.228922,1,6.896433648149916,True
187.228922,2,51241.84317869418,True
187.228922,3,83.53870939112701,True
187.228922,4,95.40281895592528,True
187.228922,5,25.61239694776063,True
187.228922,6,67469.01702803448,True
187.228922,7,667.6510750348729,True
187.228922,8,69169.18301503194,True
189.416158,0,247.23503759051792,True
189.416158,1,9.818836910885246,True
189.416158,2,51017.05045842681,True
189.416158,3,160.5195984656069,True
189.416158,4,88.3298914011732,True
189.416158,5,117.40536404181157,True
189.416158,6,713726.2560710429,True
189.416158,7,659.9400400556575,True
189.416158,8,102684.95562277849,True
192.026656,0,134.80349343009726,True
192.026656,1,2.6403021532469384,True
192.026656,2,64972.72596365645,True
192.026656,3,34.131325958105414,True
192.026656,4,20.85825647757389,True
192.026656,5,23.32280704120393,True
192.026656,6,51947.90494540866,True
192.026656,7,650.9717114130206,True
192.026656,8,24212.531735399327,True
193.079726,0,152.85776712543893,True
193.079726,1,4.1599802869078815,True
193.079726,2,59410.39209146431,True
193.079726,3,32.921242773386595,True
193.079726,4,44.569749557688,True
193.079726,5,12.721445297181333,True
193.079726,6,104317.63523645798,True
193.079726,7,647.4187358719904,True
