T,T_label,is_near_zero,sigma,sigma_half,radius_initial,radius_final,radius_ratio,tightness,winding_number,inward_fraction,min_radius,n_primes
23.016449,mid_2_3,False,0.55,False,0.6830201283771977,0.20793129180373365,0.3044292300693423,0.6955707699306577,-0.3270487732347148,0.4857142857142857,0.113607012575656,35
23.016449,mid_2_3,False,0.6,False,0.6597539553864471,0.18704053634622017,0.28350043954895615,0.7164995604510438,-0.3060382842840123,0.5142857142857142,0.11232134859934015,35
25.010858,gamma_3,True,0.4,False,0.7578582832551991,2.358272989831776,3.1117598658450736,-2.1117598658450736,0.23773167553855337,0.34285714285714286,0.5028733726596897,35
25.010858,gamma_3,True,0.45,False,0.7320428479728127,2.0607170085533646,2.815022391462388,-1.8150223914623882,0.235972512568068,0.34285714285714286,0.4840939759283898,35
25.010858,gamma_3,True,0.5,True,0.7071067811865476,1.80886589646999,2.5581226833020265,-1.5581226833020265,0.23386758571526994,0.34285714285714286,0.46634013894835447,35
25.010858,gamma_3,True,0.55,False,0.6830201283771977,1.5949334613606574,2.3351192667631833,-1.3351192667631833,0.23142057158063942,0.34285714285714286,0.449536992051491,35
25.010858,gamma_3,True,0.6,False,0.6597539553864471,1.412566181639186,2.14104996280285,-1.14104996280285,0.228639098733873,0.37142857142857144,0.4336150832149286,35
27.717867,mid_3_4,False,0.4,False,0.7578582832551991,1.044692171665605,1.3784795848352802,-0.3784795848352802,0.18006665719385415,0.42857142857142855,0.30365304850142133,35
27.717867,mid_3_4,False,0.45,False,0.7320428479728127,0.9759246144517414,1.3331523108985912,-0.3331523108985912,0.16419178811513238,0.42857142857142855,0.36161964914978945,35
27.717867,mid_3_4,False,0.5,True,0.7071067811865476,0.9220527485701534,1.3039795022513003,-0.3039795022513003,0.1501510864417962,0.42857142857142855,0.40855981879119196,35
27.717867,mid_3_4,False,0.55,False,0.6830201283771977,0.8782759644219087,1.2858712766029656,-0.28587127660296563,0.13791896130678077,0.45714285714285713,0.4459932652155534,35
27.717867,mid_3_4,False,0.6,False,0.659753955386447,0.8412730166145719,1.2751314482408842,-0.2751314482408842,0.1273616737130243,0.45714285714285713,0.47524765266743935,35
30.424876,gamma_4,True,0.4,False,0.7578582832551991,2.378750130255665,3.1387796146244025,-2.1387796146244025,-0.08823432833124939,0.37142857142857144,0.7578582832551991,35
30.424876,gamma_4,True,0.45,False,0.7320428479728126,2.1515352930564706,2.939083824143005,-1.939083824143005,-0.08244428109910976,0.37142857142857144,0.7320428479728126,35
30.424876,gamma_4,True,0.5,True,0.7071067811865476,1.9553762106223327,2.7653195566038122,-1.7653195566038122,-0.07694180034356404,0.37142857142857144,0.7071067811865476,35
30.424876,gamma_4,True,0.55,False,0.6830201283771977,1.7851158188139569,2.613562535931777,-1.6135625359317771,-0.07172669084409648,0.37142857142857144,0.6830201283771977,35
30.424876,gamma_4,True,0.6,False,0.6597539553864471,1.6365550602914822,2.480553616890223,-1.480553616890223,-0.0667950747958761,0.37142857142857144,0.6597539553864471,35
31.679969,mid_4_5,False,0.4,False,0.7578582832551991,0.32914411708603414,0.43430826627938174,0.5656917337206182,-1.162231246217921,0.42857142857142855,0.11093525204554523,35
31.679969,mid_4_5,False,0.45,False,0.7320428479728128,0.319063145305856,0.4358531009344765,0.5641468990655235,-1.1359113010099344,0.4857142857142857,0.05575432746803567,35
31.679969,mid_4_5,False,0.5,True,0.7071067811865476,0.3217923179163996,0.455083060264847,0.544916939735153,-0.1117604502786729,0.5142857142857142,0.03909785808363588,35
31.679969,mid_4_5,False,0.55,False,0.6830201283771977,0.3328684392293233,0.48734792050739795,0.512652079492602,-0.09142707345052019,0.5142857142857142,0.06304427137464746,35
31.679969,mid_4_5,False,0.6,False,0.6597539553864472,0.34839834071261017,0.5280731367628373,0.4719268632371627,-0.07516535912922938,0.5142857142857142,0.08001041162419792,35
32.935062,gamma_5,True,0.4,False,0.7578582832551991,2.323905113960551,3.066411181756531,-2.066411181756531,0.07679872190238445,0.37142857142857144,0.7578582832551991,35
32.935062,gamma_5,True,0.45,False,0.7320428479728127,2.0892926132395098,2.8540578178247618,-1.8540578178247618,0.07221972079078734,0.37142857142857144,0.7320428479728127,35
32.935062,gamma_5,True,0.5,True,0.7071067811865476,1.888186569580416,2.670299054991354,-1.6702990549913541,0.0676156536475429,0.37142857142857144,0.7071067811865476,35
32.935062,gamma_5,True,0.55,False,0.6830201283771977,1.7150639430753596,2.5110005866887364,-1.5110005866887364,0.06301910385006201,0.37142857142857144,0.6830201283771977,35
32.935062,gamma_5,True,0.6,False,0.6597539553864471,1.5653669123071843,2.372652561651229,-1.372652561651229,0.05846134228190757,0.37142857142857144,0.6597539553864471,35
35.26062,mid_5_6,False,0.4,False,0.7578582832551991,1.5142069740385011,1.9980080807912886,-0.9980080807912886,-0.12714792098630406,0.45714285714285713,0.7578582832551991,35
35.26062,mid_5_6,False,0.45,False,0.7320428479728127,1.4095212052957415,1.9254627091829597,-0.9254627091829597,-0.12450712344408589,0.45714285714285713,0.7320428479728127,35
35.26062,mid_5_6,False,0.5,True,0.7071067811865476,1.3168697834898617,1.8623351076906836,-0.8623351076906836,-0.12206441540555453,0.45714285714285713,0.7071067811865476,35
35.26062,mid_5_6,False,0.55,False,0.6830201283771977,1.2342271662449444,1.8070143396467266,-0.8070143396467266,-0.11979768091026433,0.45714285714285713,0.6830201283771977,35
35.26062,mid_5_6,False,0.6,False,0.6597539553864471,1.1599621836587706,1.7581738982971755,-0.7581738982971755,-0.11768511958067696,0.45714285714285713,0.6597539553864471,35
37.586178,gamma_6,True,0.4,False,0.7578582832551991,1.6888429474468627,2.2284416292091467,-1.2284416292091467,-0.36520947748119037,0.37142857142857144,0.34341450917795624,35
37.586178,gamma_6,True,0.45,False,0.7320428479728127,1.4804813143537605,2.022397074779896,-1.0223970747798958,-0.3646697305872934,0.37142857142857144,0.3331108974566009,35
37.586178,gamma_6,True,0.5,True,0.7071067811865476,1.299093593123013,1.8371957781865602,-0.8371957781865602,-0.3637227604145668,0.37142857142857144,0.32351517736498164,35
