sigma,prime_index,prime,z_real,z_imag,radius,angle_rad,step_size,radius_delta
0.45,1,2,-0.6817951837095019,0.2665371620218711,0.7320428479728127,2.768925832619001,0.7320428479728127,0.7320428479728127
0.45,2,3,-1.2819598155062644,0.1577094415111575,1.2916242629010253,3.019185560900626,0.6099516849811151,0.5595814149282126
0.45,3,5,-1.634009313648841,0.4908534636324673,1.70614288963473,2.849770574115014,0.4846893733285307,0.41451862673370465
0.45,4,7,-1.9332472090915405,0.20102326271272808,1.9436705285649367,3.0379828211899986,0.4165871618691008,0.23752763893020679
0.45,5,11,-2.2009583548732614,-0.008439205584482884,2.200974534172831,-3.1377583401380478,0.33991731818329274,0.2573040056078941
0.45,6,13,-2.161167080164197,0.30434097388815873,2.182490911040097,3.0016901041610535,0.3153011040480355,-0.018483623132733662
0.45,7,17,-2.35705569178249,0.10504784715993562,2.359395385338619,3.0970547244469837,0.2794460565526986,0.17690447429852174
0.45,8,19,-2.546368174431005,0.2916285119953051,2.5630134741674078,3.0275622439130374,0.26580361279891,0.20361808882878885
0.45,9,23,-2.3161858170708993,0.21096739113894994,2.325773845266208,3.0507593270399367,0.24390599430448368,-0.23723962890119976
0.45,10,29,-2.5119138322689207,0.31086149182839695,2.5310760493998816,3.018463851045986,0.21974596079543804,0.20530220413367362
0.45,11,31,-2.54509255486499,0.521513711078839,2.59797472344756,2.939480882656816,0.21324911514058678,0.06689867404767824
0.45,12,37,-2.4042440057288625,0.3838814596625876,2.4346979718552046,2.9832608664957125,0.1969287953135812,-0.16327675159235522
0.45,13,41,-2.5186464839280607,0.2346479860119936,2.529553278415513,3.048696481625227,0.1880387105782758,0.09485530656030816
0.45,14,43,-2.6972663759820343,0.1902648486947784,2.703968678748351,3.0711694239097667,0.18405142953938713,0.1744154003328382
0.45,15,47,-2.7907602434753906,0.3403573138261712,2.8114383930005986,3.02023334482157,0.17683000692213866,0.1074697142522476
