E,E_at_half,E_at_sigma_sym,E_at_sigma_test,E_min_strip,T,check,contradicted,contradiction_gap,d2E_at_half,d2E_sigma,one_plus_rho,pass,proposition,sigma,sigma_sym,sigma_test
,,2.37071669,1.60125456,,25.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,1.94487943,,,,1,EQ4.5,,,0.55
,,4.34679557,3.16371989,,30.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.69936822,,,,1,EQ4.5,,,0.55
,,5.18325143,3.4346437,,50.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,4.20024287,,,,1,EQ4.5,,,0.55
,,0.75049969,0.49321607,,100.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.60759181,,,,1,EQ4.5,,,0.55
,,2.33921961,1.91434799,,200.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,2.10829462,,,,1,EQ4.5,,,0.55
,,1.33127889,0.57438155,,10.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.85674638,,,,1,EQ4.5,,,0.6
,,8.31664877,4.40746871,,14.134,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,6.01062659,,,,1,EQ4.5,,,0.6
,,5.16910093,2.35387046,,21.022,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.44887362,,,,1,EQ4.5,,,0.6
,,2.89955919,1.32333466,,25.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,1.94487943,,,,1,EQ4.5,,,0.6
,,5.13336168,2.71830526,,30.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.69936822,,,,1,EQ4.5,,,0.6
,,6.45609292,2.83330393,,50.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,4.20024287,,,,1,EQ4.5,,,0.6
,,0.92876296,0.40176897,,100.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.60759181,,,,1,EQ4.5,,,0.6
,,2.62646784,1.74578384,,200.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,2.10829462,,,,1,EQ4.5,,,0.6
,,1.68519351,0.47747993,,10.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.85674638,,,,1,EQ4.5,,,0.65
,,9.83800203,3.79390852,,14.134,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,6.01062659,,,,1,EQ4.5,,,0.65
,,6.38319767,1.96082657,,21.022,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.44887362,,,,1,EQ4.5,,,0.65
,,3.55761342,1.098005,,25.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,1.94487943,,,,1,EQ4.5,,,0.65
,,6.09395914,2.34608347,,30.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.69936822,,,,1,EQ4.5,,,0.65
,,8.11804499,2.35697725,,50.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,4.20024287,,,,1,EQ4.5,,,0.65
,,1.1506101,0.32868495,,100.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.60759181,,,,1,EQ4.5,,,0.65
,,3.00208543,1.59568138,,200.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,2.10829462,,,,1,EQ4.5,,,0.65
,,2.15505693,0.40087075,,10.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.85674638,,,,1,EQ4.5,,,0.7
,,11.68229702,3.27667564,,14.134,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,6.01062659,,,,1,EQ4.5,,,0.7
,,7.92839853,1.6422517,,21.022,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.44887362,,,,1,EQ4.5,,,0.7
,,4.37792456,0.91483717,,25.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,1.94487943,,,,1,EQ4.5,,,0.7
,,7.27327435,2.03351676,,30.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,3.69936822,,,,1,EQ4.5,,,0.7
,,10.30598448,1.97650071,,50.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,4.20024287,,,,1,EQ4.5,,,0.7
,,1.42584621,0.27026818,,100.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,0.60759181,,,,1,EQ4.5,,,0.7
,,3.51874544,1.45990226,,200.0,"Contradiction gap E(1/2,T) > 0  (pair zeros impossible)",,2.10829462,,,,1,EQ4.5,,,0.7
